"taxi","date.date.","passenger_count","trip_distance","fare_amount","surcharge","mta_tax","tip_amount","tolls_amount","total_amount","rides","file_name"
"FHV","2015-06-12",0,0,0,0,0,0,0,0,153964,"fhv_tripdata_2015-06.csv"
"FHV","2015-06-13",0,0,0,0,0,0,0,0,140247,"fhv_tripdata_2015-06.csv"
"FHV","2015-06-14",0,0,0,0,0,0,0,0,127899,"fhv_tripdata_2015-06.csv"
"FHV","2015-06-15",0,0,0,0,0,0,0,0,137361,"fhv_tripdata_2015-06.csv"
"FHV","2015-06-16",0,0,0,0,0,0,0,0,141176,"fhv_tripdata_2015-06.csv"
"FHV","2015-06-17",0,0,0,0,0,0,0,0,146297,"fhv_tripdata_2015-06.csv"
"FHV","2015-06-18",0,0,0,0,0,0,0,0,153221,"fhv_tripdata_2015-06.csv"
"FHV","2015-06-19",0,0,0,0,0,0,0,0,153364,"fhv_tripdata_2015-06.csv"
"FHV","2015-06-20",0,0,0,0,0,0,0,0,140349,"fhv_tripdata_2015-06.csv"
"FHV","2015-06-21",0,0,0,0,0,0,0,0,125314,"fhv_tripdata_2015-06.csv"
"FHV","2015-06-22",0,0,0,0,0,0,0,0,125045,"fhv_tripdata_2015-06.csv"
"FHV","2015-06-23",0,0,0,0,0,0,0,0,146998,"fhv_tripdata_2015-06.csv"
"FHV","2015-06-24",0,0,0,0,0,0,0,0,144552,"fhv_tripdata_2015-06.csv"
"FHV","2015-06-25",0,0,0,0,0,0,0,0,153185,"fhv_tripdata_2015-06.csv"
"FHV","2015-06-26",0,0,0,0,0,0,0,0,149333,"fhv_tripdata_2015-06.csv"
"FHV","2015-06-27",0,0,0,0,0,0,0,0,176872,"fhv_tripdata_2015-06.csv"
"FHV","2015-06-28",0,0,0,0,0,0,0,0,127443,"fhv_tripdata_2015-06.csv"
"FHV","2015-06-29",0,0,0,0,0,0,0,0,119930,"fhv_tripdata_2015-06.csv"
"FHV","2015-06-30",0,0,0,0,0,0,0,0,124907,"fhv_tripdata_2015-06.csv"
"FHV","2015-07-01",0,0,0,0,0,0,0,0,135175,"fhv_tripdata_2015-07.csv"
"FHV","2015-07-02",0,0,0,0,0,0,0,0,128796,"fhv_tripdata_2015-07.csv"
"FHV","2015-07-03",0,0,0,0,0,0,0,0,101997,"fhv_tripdata_2015-07.csv"
"FHV","2015-07-04",0,0,0,0,0,0,0,0,95843,"fhv_tripdata_2015-07.csv"
"FHV","2015-07-05",0,0,0,0,0,0,0,0,100182,"fhv_tripdata_2015-07.csv"
"FHV","2015-07-06",0,0,0,0,0,0,0,0,108162,"fhv_tripdata_2015-07.csv"
"FHV","2015-07-07",0,0,0,0,0,0,0,0,127994,"fhv_tripdata_2015-07.csv"
"FHV","2015-07-08",0,0,0,0,0,0,0,0,136981,"fhv_tripdata_2015-07.csv"
"FHV","2015-07-09",0,0,0,0,0,0,0,0,154918,"fhv_tripdata_2015-07.csv"
"FHV","2015-07-10",0,0,0,0,0,0,0,0,145996,"fhv_tripdata_2015-07.csv"
"FHV","2015-07-11",0,0,0,0,0,0,0,0,147156,"fhv_tripdata_2015-07.csv"
"FHV","2015-07-12",0,0,0,0,0,0,0,0,132941,"fhv_tripdata_2015-07.csv"
"FHV","2015-07-13",0,0,0,0,0,0,0,0,123601,"fhv_tripdata_2015-07.csv"
"FHV","2015-07-14",0,0,0,0,0,0,0,0,142513,"fhv_tripdata_2015-07.csv"
"FHV","2015-07-15",0,0,0,0,0,0,0,0,156273,"fhv_tripdata_2015-07.csv"
"FHV","2015-07-16",0,0,0,0,0,0,0,0,155878,"fhv_tripdata_2015-07.csv"
"FHV","2015-07-17",0,0,0,0,0,0,0,0,152500,"fhv_tripdata_2015-07.csv"
"FHV","2015-07-18",0,0,0,0,0,0,0,0,158876,"fhv_tripdata_2015-07.csv"
"FHV","2015-07-19",0,0,0,0,0,0,0,0,145235,"fhv_tripdata_2015-07.csv"
"FHV","2015-07-20",0,0,0,0,0,0,0,0,142847,"fhv_tripdata_2015-07.csv"
"FHV","2015-07-21",0,0,0,0,0,0,0,0,147303,"fhv_tripdata_2015-07.csv"
"FHV","2015-07-22",0,0,0,0,0,0,0,0,153096,"fhv_tripdata_2015-07.csv"
"FHV","2015-07-23",0,0,0,0,0,0,0,0,160358,"fhv_tripdata_2015-07.csv"
"FHV","2015-07-24",0,0,0,0,0,0,0,0,158918,"fhv_tripdata_2015-07.csv"
"FHV","2015-07-25",0,0,0,0,0,0,0,0,151854,"fhv_tripdata_2015-07.csv"
"FHV","2015-07-26",0,0,0,0,0,0,0,0,135990,"fhv_tripdata_2015-07.csv"
"FHV","2015-07-27",0,0,0,0,0,0,0,0,132925,"fhv_tripdata_2015-07.csv"
"FHV","2015-07-28",0,0,0,0,0,0,0,0,151135,"fhv_tripdata_2015-07.csv"
"FHV","2015-07-29",0,0,0,0,0,0,0,0,162120,"fhv_tripdata_2015-07.csv"
"FHV","2015-07-30",0,0,0,0,0,0,0,0,179356,"fhv_tripdata_2015-07.csv"
"FHV","2015-07-31",0,0,0,0,0,0,0,0,167544,"fhv_tripdata_2015-07.csv"
"FHV","2015-08-01",0,0,0,0,0,0,0,0,180821,"fhv_tripdata_2015-08.csv"
"FHV","2015-08-02",0,0,0,0,0,0,0,0,159842,"fhv_tripdata_2015-08.csv"
"FHV","2015-08-03",0,0,0,0,0,0,0,0,155957,"fhv_tripdata_2015-08.csv"
"FHV","2015-08-04",0,0,0,0,0,0,0,0,170748,"fhv_tripdata_2015-08.csv"
"FHV","2015-08-05",0,0,0,0,0,0,0,0,174992,"fhv_tripdata_2015-08.csv"
"FHV","2015-08-06",0,0,0,0,0,0,0,0,181017,"fhv_tripdata_2015-08.csv"
"FHV","2015-08-07",0,0,0,0,0,0,0,0,183548,"fhv_tripdata_2015-08.csv"
"FHV","2015-08-08",0,0,0,0,0,0,0,0,162893,"fhv_tripdata_2015-08.csv"
"FHV","2015-08-09",0,0,0,0,0,0,0,0,148847,"fhv_tripdata_2015-08.csv"
"FHV","2015-08-10",0,0,0,0,0,0,0,0,146879,"fhv_tripdata_2015-08.csv"
"FHV","2015-08-11",0,0,0,0,0,0,0,0,175943,"fhv_tripdata_2015-08.csv"
"FHV","2015-08-12",0,0,0,0,0,0,0,0,169574,"fhv_tripdata_2015-08.csv"
"FHV","2015-08-13",0,0,0,0,0,0,0,0,177220,"fhv_tripdata_2015-08.csv"
"FHV","2015-08-14",0,0,0,0,0,0,0,0,181908,"fhv_tripdata_2015-08.csv"
"FHV","2015-08-15",0,0,0,0,0,0,0,0,176754,"fhv_tripdata_2015-08.csv"
"FHV","2015-08-16",0,0,0,0,0,0,0,0,160055,"fhv_tripdata_2015-08.csv"
"FHV","2015-08-17",0,0,0,0,0,0,0,0,157832,"fhv_tripdata_2015-08.csv"
"FHV","2015-08-18",0,0,0,0,0,0,0,0,169931,"fhv_tripdata_2015-08.csv"
"FHV","2015-08-19",0,0,0,0,0,0,0,0,177438,"fhv_tripdata_2015-08.csv"
"FHV","2015-08-20",0,0,0,0,0,0,0,0,187111,"fhv_tripdata_2015-08.csv"
"FHV","2015-08-21",0,0,0,0,0,0,0,0,189072,"fhv_tripdata_2015-08.csv"
"FHV","2015-08-22",0,0,0,0,0,0,0,0,180732,"fhv_tripdata_2015-08.csv"
"FHV","2015-08-23",0,0,0,0,0,0,0,0,160462,"fhv_tripdata_2015-08.csv"
"FHV","2015-08-24",0,0,0,0,0,0,0,0,153490,"fhv_tripdata_2015-08.csv"
"FHV","2015-08-25",0,0,0,0,0,0,0,0,161936,"fhv_tripdata_2015-08.csv"
"FHV","2015-08-26",0,0,0,0,0,0,0,0,167877,"fhv_tripdata_2015-08.csv"
"FHV","2015-08-27",0,0,0,0,0,0,0,0,176699,"fhv_tripdata_2015-08.csv"
"FHV","2015-08-28",0,0,0,0,0,0,0,0,183480,"fhv_tripdata_2015-08.csv"
"FHV","2015-08-29",0,0,0,0,0,0,0,0,180359,"fhv_tripdata_2015-08.csv"
"FHV","2015-08-30",0,0,0,0,0,0,0,0,168956,"fhv_tripdata_2015-08.csv"
"FHV","2015-08-31",0,0,0,0,0,0,0,0,160708,"fhv_tripdata_2015-08.csv"
"FHV","2015-09-01",0,0,0,0,0,0,0,0,195918,"fhv_tripdata_2015-09.csv"
"FHV","2015-09-02",0,0,0,0,0,0,0,0,204324,"fhv_tripdata_2015-09.csv"
"FHV","2015-09-03",0,0,0,0,0,0,0,0,216933,"fhv_tripdata_2015-09.csv"
"FHV","2015-09-04",0,0,0,0,0,0,0,0,223478,"fhv_tripdata_2015-09.csv"
"FHV","2015-09-05",0,0,0,0,0,0,0,0,209028,"fhv_tripdata_2015-09.csv"
"FHV","2015-09-06",0,0,0,0,0,0,0,0,195180,"fhv_tripdata_2015-09.csv"
"FHV","2015-09-07",0,0,0,0,0,0,0,0,169494,"fhv_tripdata_2015-09.csv"
"FHV","2015-09-08",0,0,0,0,0,0,0,0,215946,"fhv_tripdata_2015-09.csv"
"FHV","2015-09-09",0,0,0,0,0,0,0,0,237928,"fhv_tripdata_2015-09.csv"
"FHV","2015-09-10",0,0,0,0,0,0,0,0,283250,"fhv_tripdata_2015-09.csv"
"FHV","2015-09-11",0,0,0,0,0,0,0,0,257625,"fhv_tripdata_2015-09.csv"
